BCN,Article,Size,Brand,Colour,MRP,SalesPrice,TotalQty,ItemCode,ItemName
G004ST,SHIRT,26,ANG,,530.0,430.0,1.0,1326,SHIRT BOYS F/S
G004SV,SHIRT,26,ANG,,530.0,430.0,1.0,1326,SHIRT BOYS F/S
G004SY,6082,20,JEANS TOP,,790.0,690.0,1.0,1280,GIRLS DRESS
G004T0,SHIRT,26,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004T2,SHIRT,26,ANG,,560.0,460.0,1.0,1326,SHIRT BOYS F/S
G004T3,SHIRT,26,ANG,,400.0,300.0,1.0,1326,SHIRT BOYS F/S
G004T4,SHIRT,26,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004T6,SHIRT,26,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004T9,SHIRT,24,JP,,270.0,170.0,1.0,1326,SHIRT BOYS F/S
G004TA,SHIRT,24,JP,,270.0,170.0,1.0,1326,SHIRT BOYS F/S
G004TB,SHIRT,24,JP,,270.0,170.0,1.0,1326,SHIRT BOYS F/S
G004TC,SHIRT,24,JP,,270.0,170.0,1.0,1326,SHIRT BOYS F/S
G004TE,SHIRT,24,JP,,270.0,170.0,1.0,1326,SHIRT BOYS F/S
G004TF,SHIRT,24,JP,,270.0,170.0,1.0,1326,SHIRT BOYS F/S
G004TI,SHIRT,24,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004TK,SHIRT,24,4G,,350.0,250.0,1.0,1326,SHIRT BOYS F/S
G004TL,SHIRT,24,HIG,,460.0,360.0,1.0,1326,SHIRT BOYS F/S
G004TM,SHIRT,24,HIG,,460.0,360.0,1.0,1326,SHIRT BOYS F/S
G004TN,SHIRT,24,HIG,,500.0,400.0,1.0,1326,SHIRT BOYS F/S
G004TO,SHIRT,24,HIG,,490.0,390.0,1.0,1326,SHIRT BOYS F/S
G004TP,SHIRT,24,HIG,,490.0,390.0,1.0,1326,SHIRT BOYS F/S
G004TQ,SHIRT,24,HIG,,460.0,360.0,1.0,1326,SHIRT BOYS F/S
G004TR,SHIRT,24,ANG,,390.0,290.0,1.0,1326,SHIRT BOYS F/S
G004TS,SHIRT,24,ANG,,390.0,290.0,1.0,1326,SHIRT BOYS F/S
G004TU,SHIRT,26,ANG,,390.0,290.0,1.0,1326,SHIRT BOYS F/S
G004TX,SHIRT,24,ANG,,410.0,310.0,1.0,1326,SHIRT BOYS F/S
G004TY,SHIRT,24,ANG,,410.0,310.0,1.0,1326,SHIRT BOYS F/S
G004U0,SHIRT,24,ANG,,370.0,270.0,1.0,1326,SHIRT BOYS F/S
G004U2,SHIRT,24,ANG,,370.0,270.0,1.0,1326,SHIRT BOYS F/S
G004U3,SHIRT,24,ANG,,370.0,270.0,1.0,1326,SHIRT BOYS F/S
G004U4,SHIRT,24,ANG,,380.0,280.0,1.0,1326,SHIRT BOYS F/S
G004U5,SHIRT,24,ANG,,380.0,280.0,1.0,1326,SHIRT BOYS F/S
G004U6,SHIRT,24,ANG,,380.0,280.0,1.0,1326,SHIRT BOYS F/S
